# International Personality Item Pool (IPIP) — item-assignment table
#
# Source:      TedoneItemAssignmentTable30APR21.xlsx
#              https://ipip.ori.org/newMultipleconstructs.htm
# Provider:    International Personality Item Pool (https://ipip.ori.org),
#              Oregon Research Institute.
# License:     Public domain. IPIP items and scales are provided without
#              copyright restriction; no permission is required to use them.
#              Please credit the IPIP and the Oregon Research Institute.
#
# Normalization applied when converting the source .xlsx to this file:
#   - the single sheet ("data_nodupes") is emitted verbatim, column for column
#     (instrument, alpha, key, text, label); no rows are dropped or rewritten;
#   - 200 trailing all-blank spreadsheet rows are omitted;
#   - rows are sorted by (label, instrument, text) so the file diffs stably.
#
# Shape: 3805 assignments, 1961 unique items, 246 labels, 36 instruments.
#
# Four quirks of the source data that consumers must handle (see items.go):
#   - `alpha` is occasionally a comma-separated list ("0.59,0.63") where an item
#     is assigned via more than one scale; 278 rows are of this form.
#   - `alpha` is "." on 32 rows, all from the IPIP-IPC instrument, where the
#     source reports no reliability for the scale.
#   - `alpha` is out of range on 26 rows: 16 BIS_BAS rows read "1994" (the
#     Carver & White citation year) and 10 MPQ rows read "12" (an item count).
#     Cronbach's alpha cannot exceed 1, so these are slips in the source table
#     and are treated as "no reported reliability".
#   - `key` is 0 (rather than +1/-1) on 39 rows, all from the VIA instrument,
#     where the source leaves the keying direction undetermined.
#
# These are preserved verbatim rather than corrected: this file is a faithful
# copy of the published table, and the interpretation lives in the loader.
#
# Lines beginning with '#' are comments and are skipped by the loader.
instrument,alpha,key,text,label
IPIP-IPC,.,1,Have a sharp tongue,Disparagement
IPIP-IPC,.,1,Snap at people,Disparagement
Goldberg1999,0.9,1,Drove or rode somewhere without remembering later what happened during all or part of the trip.,Dissociation
Goldberg1999,0.9,1,Felt as though I was looking at the world through a fog so that people and objects appeared far away or unclear.,Dissociation
Goldberg1999,0.9,1,Felt like I was disconnected from my body.,Dissociation
Goldberg1999,0.9,1,Felt like I was dreaming when I was awake.,Dissociation
Goldberg1999,0.9,1,Felt that I could not move my hands or feet.,Dissociation
Goldberg1999,0.9,1,"Find that I sometimes sit staring off into space, thinking of nothing, and am not aware of the passage of time.",Dissociation
Goldberg1999,0.9,1,Find that in certain situations I am able to do things with amazing ease and spontaneity that would usually be difficult for me.,Dissociation
Goldberg1999,0.9,1,Find that in one situation I act so differently from when I'm in another situation that I feel almost as if I were two different people.,Dissociation
Goldberg1999,0.9,1,Found evidence that I had done things that I did not remember doing.,Dissociation
Goldberg1999,0.9,1,Found myself dressed in clothes I didn't remember putting on.,Dissociation
Goldberg1999,0.9,1,Found myself in a place and had no idea how I had gotten there.,Dissociation
Goldberg1999,0.9,1,Found new things among my belongings that I didn't remember buying.,Dissociation
Goldberg1999,0.9,1,Found that I became so involved in a fantasy or daydream that it felt like it was really happening to me.,Dissociation
Goldberg1999,0.9,1,Found that I could not remember whether I had done something or had just thought about doing that thing.,Dissociation
Goldberg1999,0.9,1,"Found that I had no memory for some important event in my life (for example, a wedding or graduation).",Dissociation
Goldberg1999,0.9,1,Found that I heard voices inside my head that told me to do things or commented on things that I was doing.,Dissociation
Goldberg1999,0.9,1,Found that I was able to ignore pain.,Dissociation
Goldberg1999,0.9,1,Found that when I was watching television or a movie I became so absorbed in the story that I was unaware of other events happening around me.,Dissociation
Goldberg1999,0.9,1,"Found writings, drawings, or notes among my belongings that I must have done but cannot remember doing.",Dissociation
Goldberg1999,0.9,1,Had the experience of being accused of lying when I did not think I had lied.,Dissociation
Goldberg1999,0.9,1,Had the experience of being in a familiar place but finding it strange and unfamiliar.,Dissociation
Goldberg1999,0.9,1,"Had the experience of feeling as though I was standing next to myself, or watching myself as if I was looking at a different person.",Dissociation
Goldberg1999,0.9,1,Had the experience of feeling that my body did not belong to me.,Dissociation
Goldberg1999,0.9,1,"Had the experience of feeling that other people, objects, and the world around me were not real.",Dissociation
Goldberg1999,0.9,1,Had the experience of looking in a mirror and not recognizing myself.,Dissociation
Goldberg1999,0.9,1,"Had the experience of not being sure whether things I remember happening really did happen, or whether I just dreamed them.",Dissociation
Goldberg1999,0.9,1,Had the experience of remembering a past event so vividly that it felt like I was reliving that event.,Dissociation
Goldberg1999,0.9,1,Talked out loud to myself.,Dissociation
Goldberg1999,0.9,1,Was approached by someone I didn't know who called me by another name or who insisted that he or she had met me before.,Dissociation
Goldberg1999,0.9,1,Was listening to someone talk and suddenly realized I did not hear part or all of what was said.,Dissociation
Goldberg1999,0.9,1,Was told that I sometimes do not recognize a friend or family member.,Dissociation
16PF,0.8,1,Am wary of others.,Distrust
16PF,0.8,-1,Believe that others have good intentions.,Distrust
16PF,0.8,-1,Believe that people are basically moral.,Distrust
16PF,0.8,1,Believe that people are essentially evil.,Distrust
16PF,0.8,1,Believe that people seldom tell you the whole truth.,Distrust
16PF,0.8,1,Distrust people.,Distrust
16PF,0.8,1,Find it hard to forgive others.,Distrust
16PF,0.8,1,Suspect hidden motives in others.,Distrust
16PF,0.8,-1,Trust others.,Distrust
16PF,0.8,-1,Trust what people say.,Distrust
MPQ,0.83,-1,Act comfortably with others.,Distrust
MPQ,0.83,1,Dislike myself.,Distrust
MPQ,0.83,1,Feel attacked by others.,Distrust
MPQ,0.83,1,Feel short-changed in life.,Distrust
MPQ,0.83,1,Feel that people have a hard time understanding me.,Distrust
6FPQ,0.7,-1,Don't let others take credit for my work.,Docility
6FPQ,0.7,1,Have already gotten more than I deserve.,Docility
6FPQ,0.7,1,Let myself be used.,Docility
6FPQ,0.7,1,Let other people take the credit for my work.,Docility
6FPQ,0.7,1,Let people push me around to help them feel important.,Docility
6FPQ,0.7,1,Put up with anything.,Docility
6FPQ,0.7,1,Will agree to anything.,Docility
6FPQ,0.7,-1,Won't take the blame for something that's not my fault.,Docility
16PF,0.81,1,Am not afraid of providing criticism.,Dominance
16PF,0.81,1,Can take strong measures.,Dominance
16PF,0.81,-1,Let myself be pushed around.,Dominance
16PF,0.81,-1,Let others make the decisions.,Dominance
16PF,0.81,-1,Never challenge things.,Dominance
16PF,0.81,1,Say what I think.,Dominance
16PF,0.81,1,Take charge.,Dominance
16PF,0.81,1,Take control of things.,Dominance
16PF,0.81,-1,Wait for others to lead the way.,Dominance
16PF,0.81,1,Want to be in charge.,Dominance
CAT-PD,"0.83,0.84",1,Am known as a controlling person.,Dominance
CAT-PD,"0.83,0.84",1,Boss people around.,Dominance
CAT-PD,"0.83,0.84",1,Have a strong need for power.,Dominance
CAT-PD,"0.83,0.84",1,Insist that others do things my way.,Dominance
CAT-PD,"0.83,0.84",1,Like having authority over others.,Dominance
CAT-PD,"0.83,0.84",1,Make demands on others.,Dominance
CPI,0.82,1,Am quick to correct others.,Dominance
CPI,0.82,1,Challenge others' points of view.,Dominance
CPI,0.82,1,Demand explanations from others.,Dominance
CPI,0.82,-1,Hate to seem pushy.,Dominance
CPI,0.82,1,Impose my will on others.,Dominance
CPI,0.82,1,Lay down the law to others.,Dominance
CPI,0.82,1,Put people under pressure.,Dominance
CPI,0.82,1,Try to outdo others.,Dominance
CPI,0.82,1,Try to surpass others' accomplishments.,Dominance
CPI,0.82,1,Want to control the conversation.,Dominance
IPIP-IPC,.,1,Demand attention,Dominance
IPIP-IPC,.,1,Demand to be the center of interest.,Dominance
IPIP-IPC,.,1,Do most of the talking.,Dominance
IPIP-IPC,.,1,Speak loudly.,Dominance
16PF,0.84,1,Believe in one true religion.,Dutifulness
16PF,0.84,1,Believe laws should be strictly enforced.,Dutifulness
16PF,0.84,-1,Break rules.,Dutifulness
16PF,0.84,-1,Know how to get around the rules.,Dutifulness
16PF,0.84,1,Like to stand during the national anthem.,Dutifulness
16PF,0.84,-1,Oppose authority.,Dutifulness
16PF,0.84,-1,Resist authority.,Dutifulness
16PF,0.84,1,Respect authority.,Dutifulness
16PF,0.84,1,Try to follow the rules.,Dutifulness
16PF,0.84,-1,Use swear words.,Dutifulness
AB5C,0.78,1,Appreciate good manners.,Dutifulness
AB5C,0.78,1,Behave properly.,Dutifulness
AB5C,0.78,1,Check over my work.,Dutifulness
AB5C,0.78,-1,Disregard rules.,Dutifulness
AB5C,0.78,-1,Do improper things.,Dutifulness
AB5C,0.78,-1,Do the opposite of what is asked.,Dutifulness
AB5C,0.78,-1,Don't think laws apply to me.,Dutifulness
AB5C,0.78,1,Follow directions.,Dutifulness
AB5C,0.78,1,Keep myself well-groomed.,Dutifulness
AB5C,0.78,-1,Make rash decisions.,Dutifulness
AB5C,0.78,-1,Pay no attention to my appearance.,Dutifulness
AB5C,0.78,-1,Say inappropriate things.,Dutifulness
AB5C,0.78,1,Stick to the rules.,Dutifulness
CPI,0.73,-1,Act without planning.,Dutifulness
CPI,0.73,1,Do things according to a plan.,Dutifulness
CPI,0.73,1,Do things by the book.,Dutifulness
CPI,0.73,1,Make plans and stick to them.,Dutifulness
CPI,0.73,-1,Overuse my credit.,Dutifulness
CPI,0.73,-1,Spend more money than I have.,Dutifulness
CPI,0.73,1,Would never cheat on my taxes.,Dutifulness
HPI,0.78,-1,Do crazy things.,Dutifulness
HPI,0.78,-1,Do things that others find strange.,Dutifulness
HPI,0.78,-1,Do unexpected things.,Dutifulness
HPI,0.78,-1,Enjoy being reckless.,Dutifulness
HPI-HIC,0.64,-1,Feel that people have a hard time understanding me.,Dutifulness
HPI-HIC,0.64,-1,Have days when I'm mad at the world.,Dutifulness
HPI-HIC,0.64,-1,Love to come up with objections.,Dutifulness
HPI-HIC,0.64,-1,Seek danger.,Dutifulness
NEO,0.71,-1,Break my promises.,Dutifulness
NEO,0.71,-1,Get others to do my duties.,Dutifulness
NEO,0.71,1,Keep my promises.,Dutifulness
NEO,0.71,1,Listen to my conscience.,Dutifulness
NEO,0.71,-1,Misrepresent the facts.,Dutifulness
NEO,0.71,1,Pay my bills on time.,Dutifulness
NEO,0.71,1,Tell the truth.,Dutifulness
AB5C,0.83,1,Am exacting in my work.,Efficiency
AB5C,0.83,-1,Find it difficult to get down to work.,Efficiency
AB5C,0.83,1,Finish what I start.,Efficiency
AB5C,0.83,1,Follow through with my plans.,Efficiency
AB5C,0.83,-1,Frequently forget to do things.,Efficiency
AB5C,0.83,1,Get chores done right away.,Efficiency
AB5C,0.83,-1,Have difficulty starting tasks.,Efficiency
AB5C,0.83,1,Make plans and stick to them.,Efficiency
AB5C,0.83,-1,Need a push to get started.,Efficiency
AB5C,0.83,-1,Postpone decisions.,Efficiency
AB5C,0.83,-1,Waste my time.,Efficiency
Barchard2001,"0.73,0.67",1,"Base my goals in life on inspiration, rather than logic.",Emotion-based Decision-making
Barchard2001,"0.73,0.67",1,Believe emotions give direction to life.,Emotion-based Decision-making
Barchard2001,"0.73,0.67",-1,Believe important decisions should be based on logical reasoning.,Emotion-based Decision-making
Barchard2001,"0.73,0.67",-1,Listen to my brain rather than my heart.,Emotion-based Decision-making
Barchard2001,"0.73,0.67",1,Listen to my feelings when making important decisions.,Emotion-based Decision-making
Barchard2001,"0.73,0.67",1,Listen to my heart rather than my brain.,Emotion-based Decision-making
Barchard2001,"0.73,0.67",-1,"Make decisions based on facts, not feelings.",Emotion-based Decision-making
Barchard2001,"0.73,0.67",1,Plan my life based on how I feel.,Emotion-based Decision-making
Barchard2001,"0.73,0.67",-1,Plan my life logically.,Emotion-based Decision-making
CAT-PD,"0.82,0.86",-1,Am able to describe my feelings easily.,Emotional Detachment
CAT-PD,"0.82,0.86",1,Am emotionally reserved.,Emotional Detachment
CAT-PD,"0.82,0.86",1,Am not good at describing the emotions I feel throughout the day.,Emotional Detachment
CAT-PD,"0.82,0.86",-1,Am open about my feelings.,Emotional Detachment
CAT-PD,"0.82,0.86",1,Have difficulty expressing my feelings.,Emotional Detachment
CAT-PD,"0.82,0.86",1,Have difficulty showing affection.,Emotional Detachment
CAT-PD,"0.82,0.86",1,Think it's best to keep my emotions to myself.,Emotional Detachment
16PF,0.85,-1,Am easily discouraged.,Emotional Stability
16PF,0.85,1,Am not easily frustrated.,Emotional Stability
16PF,0.85,1,Am relaxed most of the time.,Emotional Stability
16PF,0.85,-1,Dislike myself.,Emotional Stability
16PF,0.85,1,Feel comfortable with myself.,Emotional Stability
16PF,0.85,-1,Feel desperate.,Emotional Stability
16PF,0.85,-1,Have frequent mood swings.,Emotional Stability
16PF,0.85,-1,Often feel blue.,Emotional Stability
16PF,0.85,1,Readily overcome setbacks.,Emotional Stability
16PF,0.85,1,Seldom feel blue.,Emotional Stability
7FACTOR,0.86,1,Am not easily bothered by things.,Emotional Stability
7FACTOR,0.86,-1,Am often down in the dumps.,Emotional Stability
7FACTOR,0.86,-1,Get stressed out easily.,Emotional Stability
7FACTOR,0.86,1,Take things as they come.,Emotional Stability
BFAS-20,0.91,-1,Am easily disturbed.,Emotional Stability
BFAS-20,0.91,-1,Change my mood a lot.,Emotional Stability
BFAS-20,0.91,-1,Feel threatened easily.,Emotional Stability
BFAS-20,0.91,-1,Get angry easily.,Emotional Stability
BFAS-20,0.91,-1,Get caught up in my problems.,Emotional Stability
BFAS-20,0.91,-1,Get irritated easily.,Emotional Stability
BFAS-20,0.91,-1,Get overwhelmed by emotions.,Emotional Stability
BFAS-20,0.91,-1,Get upset easily.,Emotional Stability
BFAS-20,0.91,-1,Grumble about things.,Emotional Stability
BFAS-20,0.91,-1,Panic easily.,Emotional Stability
BFAS-20,0.91,1,Rarely get irritated.,Emotional Stability
BFAS-20,0.91,1,Seldom get mad.,Emotional Stability
BFAS-20,0.91,-1,Take offense easily.,Emotional Stability
BFAS-20,0.91,-1,Worry about things.,Emotional Stability
16PF,0.76,1,Am annoyed by others' mistakes.,Emotionality
16PF,0.76,1,Am easily put out.,Emotionality
16PF,0.76,-1,Am not easily annoyed.,Emotionality
16PF,0.76,1,Am quick to judge others.,Emotionality
16PF,0.76,1,Can't stand being contradicted.,Emotionality
16PF,0.76,1,Get angry easily.,Emotionality
16PF,0.76,1,Get irritated easily.,Emotionality
16PF,0.76,-1,Have a good word for everyone.,Emotionality
16PF,0.76,1,Judge people by their appearance.,Emotionality
16PF,0.76,-1,Try to forgive and forget.,Emotionality
NEO,0.81,-1,Am not easily affected by my emotions.,Emotionality
NEO,0.81,1,Am passionate about causes.,Emotionality
NEO,0.81,-1,Don't understand people who get emotional.,Emotionality
NEO,0.81,1,Enjoy examining myself and my life.,Emotionality
NEO,0.81,1,Experience my emotions intensely.,Emotionality
NEO,0.81,-1,Experience very few emotional highs and lows.,Emotionality
NEO,0.81,1,Feel others' emotions.,Emotionality
NEO,0.81,-1,Rarely notice my emotional reactions.,Emotionality
NEO,0.81,-1,Seldom get emotional.,Emotionality
NEO,0.81,1,Try to understand myself.,Emotionality
AB5C,0.7,-1,Am not in touch with my feelings.,Empathy
AB5C,0.7,1,Anticipate the needs of others.,Empathy
AB5C,0.7,-1,Don't have a soft side.,Empathy
AB5C,0.7,1,Love to reflect on things.,Empathy
AB5C,0.7,-1,Pretend to be concerned for others.,Empathy
AB5C,0.7,1,Sense others' wishes.,Empathy
AB5C,0.7,-1,Treat people as inferiors.,Empathy
AB5C,0.7,1,Try to stay in touch with myself.,Empathy
AB5C,0.7,1,Work on improving myself.,Empathy
Barchard2001,"0.64,0.80",1,Am concerned about others.,Empathy
Barchard2001,"0.64,0.80",1,Believe that criminals should receive help rather than punishment.,Empathy
Barchard2001,"0.64,0.80",1,Believe that the poor deserve our sympathy.,Empathy
Barchard2001,"0.64,0.80",-1,Don't like to get involved in other people's problems.,Empathy
Barchard2001,"0.64,0.80",-1,Feel little concern for others.,Empathy
Barchard2001,"0.64,0.80",1,Feel sympathy for those who are worse off than myself.,Empathy
Barchard2001,"0.64,0.80",-1,Have little sympathy for the unemployed.,Empathy
Barchard2001,"0.64,0.80",-1,Have no sympathy for criminals.,Empathy
Barchard2001,"0.64,0.80",-1,Look down on any weakness.,Empathy
Barchard2001,"0.64,0.80",1,Sympathize with the homeless.,Empathy
HPI-HIC,0.79,1,Am not easily annoyed.,Empathy
HPI-HIC,0.75,-1,Am not interested in other people's problems.,Empathy
HPI-HIC,0.75,1,Feel others' emotions.,Empathy
HPI-HIC,0.79,-1,Get annoyed with others' behaviors.,Empathy
HPI-HIC,0.79,-1,Get irritated easily.,Empathy
HPI-HIC,0.79,-1,Grumble about things.,Empathy
HPI-HIC,0.75,1,Know how to comfort others.,Empathy
HPI-HIC,0.75,1,Make others feel good.,Empathy
HPI-HIC,0.79,1,Rarely complain.,Empathy
HPI-HIC,0.79,1,Rarely get irritated.,Empathy
JPI,0.8,1,Am deeply moved by others' misfortunes.,Empathy
JPI,0.8,1,Am easily moved to tears.,Empathy
JPI,0.8,1,Cry easily.,Empathy
JPI,0.8,-1,Don't understand people who get emotional.,Empathy
JPI,0.8,1,Experience my emotions intensely.,Empathy
JPI,0.8,1,Feel spiritally connected to other people.,Empathy
JPI,0.8,-1,Seldom get emotional.,Empathy
JPI,0.8,1,Suffer from others' sorrows.,Empathy
TCI,0.79,1,Have a good word for everyone.,Empathy
TCI,0.79,1,Make people feel welcome.,Empathy
TCI,0.79,1,Reassure others.,Empathy
TCI,0.79,1,Take time out for others.,Empathy
HEXACO_PI,0.77,-1,Admire a really clever scam.,Equity/Fairness
HEXACO_PI,0.77,-1,Cheat on people who have trusted me.,Equity/Fairness
HEXACO_PI,0.77,-1,Cheat to get ahead.,Equity/Fairness
HEXACO_PI,0.77,1,Return extra change when a cashier makes a mistake.,Equity/Fairness
HEXACO_PI,0.77,-1,Steal things.,Equity/Fairness
HEXACO_PI,0.77,1,Try to follow the rules.,Equity/Fairness
HEXACO_PI,0.77,1,Would feel very badly for a long time if I were to steal from someone.,Equity/Fairness
HEXACO_PI,0.77,1,Would never cheat on my taxes.,Equity/Fairness
HEXACO_PI,0.77,1,Would never take things that aren't mine.,Equity/Fairness
HEXACO_PI,0.77,-1,Would not regret my behavior if I were to take advantage of someone impulsively.,Equity/Fairness
VIA,0.7,1,Admit when I am wrong.,Equity/Fairness
VIA,0.7,1,Am a good listener.,Equity/Fairness
VIA,0.7,1,Am committed to principles of justice and equality.,Equity/Fairness
VIA,0.7,1,Believe that everyone should have a say.,Equity/Fairness
VIA,0.7,1,Believe that everyone's rights are equally important.,Equity/Fairness
VIA,0.7,0,Feel like a loser if I compromise.,Equity/Fairness
VIA,0.7,1,Give everyone a chance.,Equity/Fairness
VIA,0.7,0,Know people whose opinions are simply not worth listening to.,Equity/Fairness
VIA,0.7,0,Refuse to take credit for work I haven't done.,Equity/Fairness
VIA,0.7,-1,Take advantage of others.,Equity/Fairness
VIA,0.7,1,Treat all people equally.,Equity/Fairness
VIA,0.7,-1,Treat others differently if I don't like them.,Equity/Fairness
BIS_BAS,0.68,1,Am eager to soothe hurt feelings.,Excitement-seeking
BIS_BAS,0.68,-1,Don't get excited about things.,Excitement-seeking
BIS_BAS,0.68,1,Feel excited or happy for no apparent reason.,Excitement-seeking
BIS_BAS,0.68,1,Get caught up in the excitement when others are celebrating.,Excitement-seeking
BIS_BAS,0.68,1,Get so happy or energetic that I am almost giddy.,Excitement-seeking
BIS_BAS,0.68,-1,Rarely get caught up in the excitement.,Excitement-seeking
NEO,0.78,1,Act wild and crazy.,Excitement-seeking
NEO,0.78,-1,Dislike loud music.,Excitement-seeking
NEO,0.78,1,Enjoy being part of a loud crowd.,Excitement-seeking
NEO,0.78,1,Enjoy being reckless.,Excitement-seeking
NEO,0.78,1,Love action.,Excitement-seeking
NEO,0.78,1,Love excitement.,Excitement-seeking
NEO,0.78,1,Seek adventure.,Excitement-seeking
NEO,0.78,1,Seek danger.,Excitement-seeking
NEO,0.78,1,Willing to try anything once.,Excitement-seeking
NEO,0.78,-1,Would never go hang gliding or bungee jumping.,Excitement-seeking
6FPQ,0.83,1,Am likely to show off if I get the chance.,Exhibitionism
6FPQ,0.83,-1,Am not good at telling jokes.,Exhibitionism
6FPQ,0.83,1,Am the life of the party.,Exhibitionism
6FPQ,0.83,1,Amuse my friends.,Exhibitionism
6FPQ,0.83,-1,Don't like to draw attention to myself.,Exhibitionism
6FPQ,0.83,1,Don't mind being the center of attention.,Exhibitionism
6FPQ,0.83,-1,Have little to say.,Exhibitionism
6FPQ,0.83,1,Like to attract attention.,Exhibitionism
6FPQ,0.83,1,Would make a good actor.,Exhibitionism
6FPQ,0.83,-1,Would not be a good comedian.,Exhibitionism
CAT-PD,"0.82,0.83",-1,Don't enjoy being in the spotlight.,Exhibitionism
CAT-PD,"0.82,0.83",1,Enjoy flirting with complete strangers.,Exhibitionism
CAT-PD,"0.82,0.83",1,Like to stand out in a crowd.,Exhibitionism
CAT-PD,"0.82,0.83",1,Love to be the center of attention.,Exhibitionism
CAT-PD,"0.82,0.83",1,Use my looks to get what I want.,Exhibitionism
HPI-HIC,0.83,-1,Dislike being the center of attention.,Exhibitionism
HPI-HIC,0.83,-1,Dislike talking about myself.,Exhibitionism
HPI-HIC,0.83,1,Make myself the center of attention.,Exhibitionism
HEXACO_PI,0.84,1,Am never at a loss for words.,Expressiveness
HEXACO_PI,0.84,1,Am the life of the party.,Expressiveness
HEXACO_PI,0.84,-1,Bottle up my feelings.,Expressiveness
HEXACO_PI,0.84,-1,Don't like to draw attention to myself.,Expressiveness
HEXACO_PI,0.84,-1,Don't talk a lot.,Expressiveness
HEXACO_PI,0.84,1,"Have an intense, boisterous laugh.",Expressiveness
HEXACO_PI,0.84,-1,Say little.,Expressiveness
HEXACO_PI,0.84,-1,Speak softly.,Expressiveness
HEXACO_PI,0.84,1,Talk a lot.,Expressiveness
HEXACO_PI,0.84,1,Tell people about it when I'm irritated.,Expressiveness
TCI,0.85,-1,Never abuse my credit.,Extravagance
TCI,0.85,-1,Never spend more than I can afford.,Extravagance
TCI,0.85,1,Overuse my credit.,Extravagance
TCI,0.85,1,Spend more money than I have.,Extravagance
6FPQ,0.85,1,Am good at making impromptu speeches.,Extraversion
6FPQ,0.85,-1,Am not good at getting people to like me.,Extraversion
6FPQ,0.85,1,Am skilled in handling social situations.,Extraversion
6FPQ,0.85,1,Can talk others into doing things.,Extraversion
6FPQ,0.85,1,Express myself easily.,Extraversion
6FPQ,0.85,-1,Find it difficult to approach others.,Extraversion
6FPQ,0.85,1,Have a natural talent for influencing people.,Extraversion
6FPQ,0.85,-1,Keep in the background.,Extraversion
6FPQ,0.85,-1,Lack the talent for influencing people.,Extraversion
6FPQ,0.85,-1,Would describe my experiences as somewhat dull.,Extraversion
7FACTOR,0.82,1,Am open about my feelings.,Extraversion
7FACTOR,0.82,-1,Don't talk a lot.,Extraversion
7FACTOR,0.82,-1,Have difficulty expressing my feelings.,Extraversion
7FACTOR,0.82,-1,Hold back my opinions.,Extraversion
7FACTOR,0.82,1,Make friends easily.,Extraversion
7FACTOR,0.82,1,Never at a loss for words.,Extraversion
7FACTOR,0.82,-1,Speak softly.,Extraversion
7FACTOR,0.82,1,Take charge.,Extraversion
7FACTOR,0.82,1,Talk to a lot of different people at parties.,Extraversion
BFAS-20,0.91,-1,Am a very private person.,Extraversion
BFAS-20,0.91,-1,Am quiet around strangers.,Extraversion
BFAS-20,0.91,1,Am the life of the party.,Extraversion
BFAS-20,0.91,-1,Bottle up my feelings.,Extraversion
BFAS-20,0.91,-1,Don't like to draw attention to myself.,Extraversion
BFAS-20,0.91,1,Don't mind being the center of attention.,Extraversion
BFAS-20,0.91,1,Feel at ease with people.,Extraversion
BFAS-20,0.91,1,Feel comfortable around people.,Extraversion
BFAS-20,0.91,-1,Have little to say.,Extraversion
BFAS-20,0.91,1,Know how to captivate people.,Extraversion
BFAS-20,0.91,-1,Often feel uncomfortable around others.,Extraversion
BFAS-20,0.91,1,Start conversations.,Extraversion
BFAS-20,0.91,-1,Wait for others to lead the way.,Extraversion
NEO5-20,0.91,-1,Am hard to get to know.,Extraversion
NEO5-20,0.91,-1,Avoid contacts with others.,Extraversion
NEO5-20,0.91,1,Cheer people up.,Extraversion
NEO5-20,0.91,-1,Keep others at a distance.,Extraversion
NEO5-20,0.91,-1,Retreat from others.,Extraversion
NEO5-20,0.91,1,Warm up quickly to others.,Extraversion
CAT-PD,"0.82,0.83",1,Am sometimes so preoccupied with my own thoughts I don't realize others are trying to speak to me.,Fantasy Proneness
CAT-PD,"0.82,0.83",1,Feel like my imagination can run wild.,Fantasy Proneness
CAT-PD,"0.82,0.83",1,Sometimes find myself in a trance-like state without trying.,Fantasy Proneness
CAT-PD,"0.82,0.83",1,Sometimes get lost in my daydreams.,Fantasy Proneness
CAT-PD,"0.82,0.83",1,Sometimes have extremely vivid pictures in my head.,Fantasy Proneness
CAT-PD,"0.82,0.83",1,Sometimes have fantasies that are overwhelming.,Fantasy Proneness
HEXACO_PI,0.84,1,Am a physical coward.,Fearfulness
HEXACO_PI,0.84,-1,Am willing to take risks.,Fearfulness
HEXACO_PI,0.84,1,Begin to panic when there is danger.,Fearfulness
HEXACO_PI,0.84,-1,Face danger confidently.,Fearfulness
HEXACO_PI,0.84,-1,Like to do frightening things.,Fearfulness
HEXACO_PI,0.84,-1,Love dangerous situations.,Fearfulness
HEXACO_PI,0.84,1,Tremble in dangerous situations.,Fearfulness
HEXACO_PI,0.84,-1,Would be good at rescuing people from a burning building.,Fearfulness
HEXACO_PI,0.84,1,Would fear walking in a high-crime part of a city.,Fearfulness
HEXACO_PI,0.84,1,Would never go riding down a stretch of rapids in a canoe.,Fearfulness
TCI,0.65,-1,Am not interested in other people's problems.,Femininity
TCI,0.65,1,Feel sympathy for those who are worse off than myself.,Femininity
TCI,0.65,1,Like to watch figure skating.,Femininity
TCI,0.65,1,Love children's movies.,Femininity
TCI,0.65,1,Love children.,Femininity
TCI,0.65,1,Radiate joy.,Femininity
TCI,0.65,-1,Try not to think about the needy.,Femininity
TCI,0.65,1,Try to stay in touch with myself.,Femininity
HEXACO_PI,0.73,1,Adjust easily.,Flexibility
HEXACO_PI,0.73,-1,Am annoyed by others' mistakes.,Flexibility
HEXACO_PI,0.73,1,Am good at taking advice.,Flexibility
HEXACO_PI,0.73,-1,Am hard to convince.,Flexibility
HEXACO_PI,0.73,-1,Am hard to reason with.,Flexibility
HEXACO_PI,0.73,-1,Am hard to satisfy.,Flexibility
HEXACO_PI,0.73,-1,Can't stand being contradicted.,Flexibility
HEXACO_PI,0.73,-1,Get upset if others change the way that I have arranged things.,Flexibility
HEXACO_PI,0.73,-1,React strongly to criticism.,Flexibility
HEXACO_PI,0.73,-1,"When interacting with a group of people, am often bothered by at least one of them.",Flexibility
CPI,0.82,-1,Am afraid that I will do the wrong thing.,Forcefulness
CPI,0.82,-1,Am apprehensive about new encounters.,Forcefulness
CPI,0.82,-1,Am easily discouraged.,Forcefulness
CPI,0.82,-1,Am easily intimidated.,Forcefulness
CPI,0.82,1,Am not embarrassed easily.,Forcefulness
CPI,0.82,1,Am very pleased with myself.,Forcefulness
CPI,0.82,-1,Give up easily.,Forcefulness
CPI,0.82,-1,Have a low opinion of myself.,Forcefulness
CPI,0.82,1,Readily overcome setbacks.,Forcefulness
CPI,0.82,1,Take the initiative.,Forcefulness
HEXACO_PI,0.78,1,Am inclined to forgive others.,Forgiveness/Mercy
HEXACO_PI,0.78,1,Am nice to people I should be angry at.,Forgiveness/Mercy
HEXACO_PI,0.78,-1,Distrust people.,Forgiveness/Mercy
HEXACO_PI,0.78,-1,Feel that most people can't be trusted.,Forgiveness/Mercy
HEXACO_PI,0.78,-1,Find it hard to forgive others.,Forgiveness/Mercy
HEXACO_PI,0.78,-1,Get back at people who insult me.,Forgiveness/Mercy
HEXACO_PI,0.78,-1,Get even with others.,Forgiveness/Mercy
HEXACO_PI,0.78,-1,Hold a grudge.,Forgiveness/Mercy
HEXACO_PI,0.78,1,Love my enemies.,Forgiveness/Mercy
HEXACO_PI,0.78,1,Try to forgive and forget.,Forgiveness/Mercy
HPI-HIC,0.75,1,Accept apologies easily.,Forgiveness/Mercy
